,NAICS2017_LABEL,SEX_LABEL,ETH_GROUP,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP_LABEL,YIBSZFI,YIBSZFI_LABEL,FIRMPDEMP,RCPPDEMP,EMP,PAYANN,EMPSZFI,EMPSZFI_LABEL
26,Total for all sectors,Total,020,00,Total,Total,318,Firms with 2 to 3 years in business,57810,45030287,330392,10309317,,
27,Total for all sectors,Total,020,00,Total,Total,319,Firms with 4 to 5 years in business,44878,46662692,363740,11294530,,
28,Total for all sectors,Total,020,00,Total,Total,321,Firms with 6 to 10 years in business,66851,79469568,535421,18676035,,
29,Total for all sectors,Total,020,00,Total,Total,322,Firms with 11 to 15 years in business,47162,61619894,412010,15480848,,
30,Total for all sectors,Total,020,00,Total,Total,323,Firms with 16 or more years in business,67614,190228308,1050962,43463100,,
31,Total for all sectors,Female,020,00,Total,Total,311,Firms with less than 2 years in business,16592,9654785,80136,2736584,,
32,Total for all sectors,Female,020,00,Total,Total,318,Firms with 2 to 3 years in business,16458,11160882,91358,2625321,,
33,Total for all sectors,Female,020,00,Total,Total,319,Firms with 4 to 5 years in business,S,S,"100,000 employees or more",S,,
34,Total for all sectors,Female,020,00,Total,Total,321,Firms with 6 to 10 years in business,18163,16551208,133720,4142051,,
35,Total for all sectors,Female,020,00,Total,Total,322,Firms with 11 to 15 years in business,11213,10496987,84929,2841779,,
36,Total for all sectors,Female,020,00,Total,Total,323,Firms with 16 or more years in business,16607,37749539,235585,8280385,,
37,Total for all sectors,Male,020,00,Total,Total,311,Firms with less than 2 years in business,38756,26616743,130342,5581307,,
38,Total for all sectors,Male,020,00,Total,Total,318,Firms with 2 to 3 years in business,35030,29761533,201936,6806931,,
39,Total for all sectors,Male,020,00,Total,Total,319,Firms with 4 to 5 years in business,28780,31444074,225583,7348200,,
40,Total for all sectors,Male,020,00,Total,Total,321,Firms with 6 to 10 years in business,40742,54008131,330080,12379034,,
41,Total for all sectors,Male,020,00,Total,Total,322,Firms with 11 to 15 years in business,30012,43915486,275618,10788970,,
42,Total for all sectors,Male,020,00,Total,Total,323,Firms with 16 or more years in business,43535,135479739,709771,31621391,,
43,Total for all sectors,Equally male/female,020,00,Total,Total,311,Firms with less than 2 years in business,7175,3997845,27544,814005,,
44,Total for all sectors,Equally male/female,020,00,Total,Total,318,Firms with 2 to 3 years in business,6322,4107872,37098,877065,,
45,Total for all sectors,Equally male/female,020,00,Total,Total,319,Firms with 4 to 5 years in business,5347,3438137,32358,813764,,
46,Total for all sectors,Equally male/female,020,00,Total,Total,321,Firms with 6 to 10 years in business,7947,8910229,71621,2154950,,
47,Total for all sectors,Equally male/female,020,00,Total,Total,322,Firms with 11 to 15 years in business,5937,7207420,51463,1850099,,
48,Total for all sectors,Equally male/female,020,00,Total,Total,323,Firms with 16 or more years in business,7472,16999031,105606,3561324,,
49,Total for all sectors,Total,028,00,Total,Total,311,Firms with less than 2 years in business,10166,5780151,37062,2446045,,
50,Total for all sectors,Total,028,00,Total,Total,318,Firms with 2 to 3 years in business,8485,6089768,49682,1605035,,
51,Total for all sectors,Total,028,00,Total,Total,319,Firms with 4 to 5 years in business,6091,4497883,36005,1155104,,
52,Total for all sectors,Total,028,00,Total,Total,321,Firms with 6 to 10 years in business,9029,10888221,97717,3038060,,
53,Total for all sectors,Total,028,00,Total,Total,322,Firms with 11 to 15 years in business,6707,10120467,71258,2687708,,
54,Total for all sectors,Total,028,00,Total,Total,323,Firms with 16 or more years in business,10442,40867973,191793,8547058,,
55,Total for all sectors,Female,028,00,Total,Total,311,Firms with less than 2 years in business,457,123117,1032,43148,,
56,Total for all sectors,Female,028,00,Total,Total,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
57,Total for all sectors,Female,028,00,Total,Total,319,Firms with 4 to 5 years in business,S,S,"2,500 to 4,999 employees",S,,
58,Total for all sectors,Female,028,00,Total,Total,321,Firms with 6 to 10 years in business,S,S,"2,500 to 4,999 employees",S,,
59,Total for all sectors,Female,028,00,Total,Total,322,Firms with 11 to 15 years in business,S,S,"1,000 to 2,499 employees",S,,
60,Total for all sectors,Female,028,00,Total,Total,323,Firms with 16 or more years in business,S,S,"2,500 to 4,999 employees",S,,
61,Total for all sectors,Male,028,00,Total,Total,311,Firms with less than 2 years in business,S,S,"5,000 to 9,999 employees",S,,
62,Total for all sectors,Male,028,00,Total,Total,318,Firms with 2 to 3 years in business,1382,1117074,10775,392977,,
63,Total for all sectors,Male,028,00,Total,Total,319,Firms with 4 to 5 years in business,1583,1516887,10049,361980,,
64,Total for all sectors,Male,028,00,Total,Total,321,Firms with 6 to 10 years in business,1878,2664087,24482,795607,,
65,Total for all sectors,Male,028,00,Total,Total,322,Firms with 11 to 15 years in business,1353,2171700,17935,708394,,
66,Total for all sectors,Male,028,00,Total,Total,323,Firms with 16 or more years in business,S,S,"50,000 to 99,999 employees",S,,
67,Total for all sectors,Equally male/female,028,00,Total,Total,311,Firms with less than 2 years in business,7578,3478325,26716,1940350,,
68,Total for all sectors,Equally male/female,028,00,Total,Total,318,Firms with 2 to 3 years in business,6726,4820797,36657,1166165,,
69,Total for all sectors,Equally male/female,028,00,Total,Total,319,Firms with 4 to 5 years in business,4144,2750579,22334,719598,,
70,Total for all sectors,Equally male/female,028,00,Total,Total,321,Firms with 6 to 10 years in business,6820,7835877,69832,2129008,,
71,Total for all sectors,Equally male/female,028,00,Total,Total,322,Firms with 11 to 15 years in business,5236,7846483,52028,1934675,,
72,Total for all sectors,Equally male/female,028,00,Total,Total,323,Firms with 16 or more years in business,8024,22628386,134290,5264371,,
73,Total for all sectors,Total,029,00,Total,Total,311,Firms with less than 2 years in business,771434,619864220,3218519,137653205,,
74,Total for all sectors,Total,029,00,Total,Total,318,Firms with 2 to 3 years in business,638449,658347783,4398285,153824419,,
75,Total for all sectors,Total,029,00,Total,Total,319,Firms with 4 to 5 years in business,502950,643166536,3987996,153124649,,
76,Total for all sectors,Total,029,00,Total,Total,321,Firms with 6 to 10 years in business,850360,1465233353,8014949,344717511,,
77,Total for all sectors,Total,029,00,Total,Total,322,Firms with 11 to 15 years in business,722900,1490369935,7375148,338174785,,
78,Total for all sectors,Total,029,00,Total,Total,323,Firms with 16 or more years in business,1679258,9629116079,33831047,1705311700,,
79,Total for all sectors,Female,029,00,Total,Total,311,Firms with less than 2 years in business,185849,102416568,659421,24767641,,
80,Total for all sectors,Female,029,00,Total,Total,318,Firms with 2 to 3 years in business,160404,118150557,975118,30077414,,
81,Total for all sectors,Female,029,00,Total,Total,319,Firms with 4 to 5 years in business,123085,102790371,837162,27200149,,
82,Total for all sectors,Female,029,00,Total,Total,321,Firms with 6 to 10 years in business,194894,198009168,1557578,54691442,,
83,Total for all sectors,Female,029,00,Total,Total,322,Firms with 11 to 15 years in business,156612,208771997,1416331,53454354,,
84,Total for all sectors,Female,029,00,Total,Total,323,Firms with 16 or more years in business,295689,979101657,4600068,204101065,,
85,Total for all sectors,Male,029,00,Total,Total,311,Firms with less than 2 years in business,471089,435274615,2080477,95758319,,
86,Total for all sectors,Male,029,00,Total,Total,318,Firms with 2 to 3 years in business,387512,456256559,2797464,105591437,,
87,Total for all sectors,Male,029,00,Total,Total,319,Firms with 4 to 5 years in business,306689,463405620,2619962,109365829,,
88,Total for all sectors,Male,029,00,Total,Total,321,Firms with 6 to 10 years in business,532370,1102435265,5399034,254771153,,
89,Total for all sectors,Male,029,00,Total,Total,322,Firms with 11 to 15 years in business,452488,1127055833,4962421,248912943,,
90,Total for all sectors,Male,029,00,Total,Total,323,Firms with 16 or more years in business,1130958,7896974863,25706305,1354028725,,
91,Total for all sectors,Equally male/female,029,00,Total,Total,311,Firms with less than 2 years in business,114496,82173038,478621,17127246,,
92,Total for all sectors,Equally male/female,029,00,Total,Total,318,Firms with 2 to 3 years in business,90530,83940667,625704,18155568,,
93,Total for all sectors,Equally male/female,029,00,Total,Total,319,Firms with 4 to 5 years in business,73176,76970546,530872,16558671,,
94,Total for all sectors,Equally male/female,029,00,Total,Total,321,Firms with 6 to 10 years in business,123094,164788920,1058337,35254917,,
95,Total for all sectors,Equally male/female,029,00,Total,Total,322,Firms with 11 to 15 years in business,113799,154542105,996396,35807487,,
96,Total for all sectors,Equally male/female,029,00,Total,Total,323,Firms with 16 or more years in business,252609,753039560,3524674,147181910,,
97,Total for all sectors,Total,001,30,White,Total,311,Firms with less than 2 years in business,716002,581770096,2931708,129934115,,
98,Total for all sectors,Total,001,30,White,Total,318,Firms with 2 to 3 years in business,584619,601489766,3942440,141759965,,
99,Total for all sectors,Total,001,30,White,Total,319,Firms with 4 to 5 years in business,458352,598216125,3715471,143626653,,
100,Total for all sectors,Total,001,30,White,Total,321,Firms with 6 to 10 years in business,775144,1367142127,7334473,321966521,,
101,Total for all sectors,Total,001,30,White,Total,322,Firms with 11 to 15 years in business,672620,1406968331,6867427,319744562,,
102,Total for all sectors,Total,001,30,White,Total,323,Firms with 16 or more years in business,1612361,9421324953,32871282,1661456553,,
103,Total for all sectors,Female,001,30,White,Total,311,Firms with less than 2 years in business,164212,92153549,592201,22951144,,
104,Total for all sectors,Female,001,30,White,Total,318,Firms with 2 to 3 years in business,141306,103568890,822787,25922226,,
105,Total for all sectors,Female,001,30,White,Total,319,Firms with 4 to 5 years in business,105915,90722056,742274,24276571,,
106,Total for all sectors,Female,001,30,White,Total,321,Firms with 6 to 10 years in business,169895,172283243,1325011,47651697,,
107,Total for all sectors,Female,001,30,White,Total,322,Firms with 11 to 15 years in business,138459,186531407,1242567,47361423,,
108,Total for all sectors,Female,001,30,White,Total,323,Firms with 16 or more years in business,278227,945306016,4407835,194613664,,
109,Total for all sectors,Male,001,30,White,Total,311,Firms with less than 2 years in business,442141,411922019,1897267,89841050,,
110,Total for all sectors,Male,001,30,White,Total,318,Firms with 2 to 3 years in business,356960,417355897,2529650,98311404,,
111,Total for all sectors,Male,001,30,White,Total,319,Firms with 4 to 5 years in business,284781,436033547,2479356,103858516,,
112,Total for all sectors,Male,001,30,White,Total,321,Firms with 6 to 10 years in business,490952,1037457313,5000554,239948418,,
113,Total for all sectors,Male,001,30,White,Total,322,Firms with 11 to 15 years in business,426732,1073103047,4697162,237781536,,
114,Total for all sectors,Male,001,30,White,Total,323,Firms with 16 or more years in business,1090363,7735125123,25051184,1322613714,,
115,Total for all sectors,Equally male/female,001,30,White,Total,311,Firms with less than 2 years in business,109647,77694528,442240,17141921,,
116,Total for all sectors,Equally male/female,001,30,White,Total,318,Firms with 2 to 3 years in business,86352,80564980,590003,17526335,,
117,Total for all sectors,Equally male/female,001,30,White,Total,319,Firms with 4 to 5 years in business,67656,71460522,493840,15491565,,
118,Total for all sectors,Equally male/female,001,30,White,Total,321,Firms with 6 to 10 years in business,114296,157401571,1008908,34366406,,
119,Total for all sectors,Equally male/female,001,30,White,Total,322,Firms with 11 to 15 years in business,107427,147333877,927698,34601603,,
120,Total for all sectors,Equally male/female,001,30,White,Total,323,Firms with 16 or more years in business,243769,740893814,3412262,144229175,,
121,Total for all sectors,Total,020,30,White,Total,311,Firms with less than 2 years in business,59665,38968477,229795,8569805,,
122,Total for all sectors,Total,020,30,White,Total,318,Firms with 2 to 3 years in business,55325,43604570,319860,10028552,,
123,Total for all sectors,Total,020,30,White,Total,319,Firms with 4 to 5 years in business,42642,45418861,352105,10988710,,
124,Total for all sectors,Total,020,30,White,Total,321,Firms with 6 to 10 years in business,63830,76677494,515784,18003479,,
125,Total for all sectors,Total,020,30,White,Total,322,Firms with 11 to 15 years in business,44861,59498703,395027,14911524,,
126,Total for all sectors,Total,020,30,White,Total,323,Firms with 16 or more years in business,65347,186995637,1017394,42403101,,
127,Total for all sectors,Total,028,30,White,Total,311,Firms with less than 2 years in business,9172,5272214,34287,2358573,,
128,Total for all sectors,Total,028,30,White,Total,318,Firms with 2 to 3 years in business,7592,5250578,44376,1409712,,
129,Total for all sectors,Total,028,30,White,Total,319,Firms with 4 to 5 years in business,5325,3970420,29892,1000568,,
130,Total for all sectors,Total,028,30,White,Total,321,Firms with 6 to 10 years in business,8317,9802264,89293,2738336,,
131,Total for all sectors,Total,028,30,White,Total,322,Firms with 11 to 15 years in business,6086,8866070,65086,2270424,,
132,Total for all sectors,Total,028,30,White,Total,323,Firms with 16 or more years in business,9490,37022710,176751,7536972,,
133,Total for all sectors,Total,029,30,White,Total,311,Firms with less than 2 years in business,647166,537529406,2667626,119005737,,
134,Total for all sectors,Total,029,30,White,Total,318,Firms with 2 to 3 years in business,521702,552634618,3578205,130321701,,
135,Total for all sectors,Total,029,30,White,Total,319,Firms with 4 to 5 years in business,410385,548826844,3333474,131637374,,
136,Total for all sectors,Total,029,30,White,Total,321,Firms with 6 to 10 years in business,703000,1280662369,6729396,301224706,,
137,Total for all sectors,Total,029,30,White,Total,322,Firms with 11 to 15 years in business,621671,1338603558,6407314,302562615,,
138,Total for all sectors,Total,029,30,White,Total,323,Firms with 16 or more years in business,1537527,9197306606,31677137,1611516480,,
139,Total for all sectors,Total,001,40,Black or African American,Total,311,Firms with less than 2 years in business,24915,11155239,94732,3381686,,
140,Total for all sectors,Total,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,21934,14231465,149395,4028958,,
141,Total for all sectors,Total,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,16344,12921456,126686,3797154,,
142,Total for all sectors,Total,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,26088,27753111,306140,8581140,,
143,Total for all sectors,Total,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,18477,18973604,192135,6216522,,
144,Total for all sectors,Total,001,40,Black or African American,Total,323,Firms with 16 or more years in business,26806,48618215,403913,14486930,,
145,Total for all sectors,Female,001,40,Black or African American,Total,311,Firms with less than 2 years in business,8969,3246961,31741,985444,,
146,Total for all sectors,Female,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,7862,4475188,65220,1550309,,
147,Total for all sectors,Female,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,6757,3556262,50597,1250803,,
148,Total for all sectors,Female,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,9336,6985730,105092,2655842,,
149,Total for all sectors,Female,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,6276,4790132,65991,1789980,,
150,Total for all sectors,Female,001,40,Black or African American,Total,323,Firms with 16 or more years in business,8449,13495896,129749,4763257,,
151,Total for all sectors,Male,001,40,Black or African American,Total,311,Firms with less than 2 years in business,13943,7002485,53457,2159596,,
152,Total for all sectors,Male,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,12311,8361600,71229,2157761,,
153,Total for all sectors,Male,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,8538,8684856,69391,2397458,,
154,Total for all sectors,Male,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,14486,19235730,170701,5345718,,
155,Total for all sectors,Male,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,10590,12583759,99812,3809817,,
156,Total for all sectors,Male,001,40,Black or African American,Total,323,Firms with 16 or more years in business,16378,32524007,238391,8883177,,
157,Total for all sectors,Equally male/female,001,40,Black or African American,Total,311,Firms with less than 2 years in business,2005,905793,9534,236645,,
158,Total for all sectors,Equally male/female,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,1760,1394677,12946,320888,,
159,Total for all sectors,Equally male/female,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,S,S,"5,000 to 9,999 employees",S,,
160,Total for all sectors,Equally male/female,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,2264,1531652,30347,579580,,
161,Total for all sectors,Equally male/female,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,1613,1599713,26332,616725,,
162,Total for all sectors,Equally male/female,001,40,Black or African American,Total,323,Firms with 16 or more years in business,1982,2598313,35773,840496,,
163,Total for all sectors,Total,020,40,Black or African American,Total,311,Firms with less than 2 years in business,2145,1136354,6722,522071,,
164,Total for all sectors,Total,020,40,Black or African American,Total,318,Firms with 2 to 3 years in business,1820,882774,7799,208745,,
165,Total for all sectors,Total,020,40,Black or African American,Total,319,Firms with 4 to 5 years in business,1823,1038425,9440,254255,,
166,Total for all sectors,Total,020,40,Black or African American,Total,321,Firms with 6 to 10 years in business,2078,1809207,13441,485222,,
167,Total for all sectors,Total,020,40,Black or African American,Total,322,Firms with 11 to 15 years in business,1295,1016219,5896,230410,,
168,Total for all sectors,Total,020,40,Black or African American,Total,323,Firms with 16 or more years in business,1105,1135991,9766,276500,,
169,Total for all sectors,Total,028,40,Black or African American,Total,311,Firms with less than 2 years in business,32,8064,54,1325,,
170,Total for all sectors,Total,028,40,Black or African American,Total,318,Firms with 2 to 3 years in business,D,D,100 to 249 employees,D,,
171,Total for all sectors,Total,028,40,Black or African American,Total,321,Firms with 6 to 10 years in business,65,99230,960,54354,,
172,Total for all sectors,Total,028,40,Black or African American,Total,322,Firms with 11 to 15 years in business,D,D,0 to 19 employees,D,,
173,Total for all sectors,Total,028,40,Black or African American,Total,323,Firms with 16 or more years in business,D,D,0 to 19 employees,D,,
174,Total for all sectors,Total,029,40,Black or African American,Total,311,Firms with less than 2 years in business,22738,10010822,87956,2858290,,
175,Total for all sectors,Total,029,40,Black or African American,Total,318,Firms with 2 to 3 years in business,20082,13334503,141456,3816053,,
176,Total for all sectors,Total,029,40,Black or African American,Total,319,Firms with 4 to 5 years in business,14520,11883031,117246,3542899,,
177,Total for all sectors,Total,029,40,Black or African American,Total,321,Firms with 6 to 10 years in business,23943,25844674,291739,8041563,,
178,Total for all sectors,Total,029,40,Black or African American,Total,322,Firms with 11 to 15 years in business,17179,17954111,186226,5984870,,
179,Total for all sectors,Total,029,40,Black or African American,Total,323,Firms with 16 or more years in business,25657,47452698,394134,14201905,,
180,Total for all sectors,Total,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,4221,2384819,14599,479280,,
181,Total for all sectors,Total,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,3757,1956344,14202,478694,,
182,Total for all sectors,Total,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,2735,2186594,12068,455108,,
183,Total for all sectors,Total,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,4759,5901337,35526,1591918,,
184,Total for all sectors,Total,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,3756,6120541,41150,1537214,,
185,Total for all sectors,Total,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,6839,17226963,97503,4118484,,
186,Total for all sectors,Female,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,1556,590981,4896,137981,,
187,Total for all sectors,Female,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,1109,534380,4461,127599,,
188,Total for all sectors,Female,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,1082,716611,5117,132253,,
189,Total for all sectors,Female,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,1677,1718683,11565,449636,,
190,Total for all sectors,Female,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,1190,1700890,9841,445692,,
191,Total for all sectors,Female,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,2005,3496769,20571,953115,,
192,Total for all sectors,Male,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,2601,1750178,9566,334352,,
193,Total for all sectors,Male,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,2507,1330772,9131,333523,,
194,Total for all sectors,Male,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,1621,1467578,6907,321511,,
195,Total for all sectors,Male,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,2998,4074793,23743,1134582,,
196,Total for all sectors,Male,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,2396,4119348,30423,1070543,,
197,Total for all sectors,Male,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,4547,13160052,71703,3033644,,
198,Total for all sectors,Equally male/female,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,64,43660,137,6947,,
199,Total for all sectors,Equally male/female,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,S,S,500 to 999 employees,S,,
200,Total for all sectors,Equally male/female,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,S,S,20 to 99 employees,S,,
201,Total for all sectors,Equally male/female,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,83,107861,218,7700,,
202,Total for all sectors,Equally male/female,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,S,S,500 to 999 employees,S,,
203,Total for all sectors,Equally male/female,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,285,570142,5228,131725,,
204,Total for all sectors,Total,020,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,991,345403,2347,66506,,
205,Total for all sectors,Total,020,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,S,S,"2,500 to 4,999 employees",S,,
206,Total for all sectors,Total,020,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
207,Total for all sectors,Total,020,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,1105,723544,4521,155810,,
208,Total for all sectors,Total,020,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,795,761275,7299,210204,,
209,Total for all sectors,Total,020,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,S,S,"10,000 to 24,999 employees",S,,
210,Total for all sectors,Total,028,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,11,2909,50,1247,,
211,Total for all sectors,Total,028,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,D,D,0 to 19 employees,D,,
212,Total for all sectors,Total,028,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,D,D,0 to 19 employees,D,,
213,Total for all sectors,Total,029,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,3219,2036506,12202,411528,,
214,Total for all sectors,Total,029,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,2685,1560402,10982,385937,,
215,Total for all sectors,Total,029,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,2103,1769030,9795,363019,,
216,Total for all sectors,Total,029,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,3623,5147914,31005,1435207,,
217,Total for all sectors,Total,029,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,2959,5359266,33852,1327010,,
218,Total for all sectors,Total,029,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,5981,15888445,86161,3740519,,
219,Total for all sectors,Total,001,60,Asian,Total,311,Firms with less than 2 years in business,98146,68446883,436604,14633736,,
220,Total for all sectors,Total,001,60,Asian,Total,318,Firms with 2 to 3 years in business,94903,91148427,664068,19200550,,
221,Total for all sectors,Total,001,60,Asian,Total,319,Firms with 4 to 5 years in business,76409,80908442,525734,17477978,,
222,Total for all sectors,Total,001,60,Asian,Total,321,Firms with 6 to 10 years in business,119660,149935850,927085,33233870,,
223,Total for all sectors,Total,001,60,Asian,Total,322,Firms with 11 to 15 years in business,81540,127860449,727270,27981933,,
224,Total for all sectors,Total,001,60,Asian,Total,323,Firms with 16 or more years in business,110542,356318267,1665786,73285161,,
225,Total for all sectors,Female,001,60,Asian,Total,311,Firms with less than 2 years in business,30832,17108814,119068,3712950,,
226,Total for all sectors,Female,001,60,Asian,Total,318,Firms with 2 to 3 years in business,29350,22169901,186103,5484584,,
227,Total for all sectors,Female,001,60,Asian,Total,319,Firms with 4 to 5 years in business,22651,21050222,158646,5040154,,
228,Total for all sectors,Female,001,60,Asian,Total,321,Firms with 6 to 10 years in business,34986,35432810,260184,8655228,,
229,Total for all sectors,Female,001,60,Asian,Total,322,Firms with 11 to 15 years in business,23678,28071492,194067,7216282,,
230,Total for all sectors,Female,001,60,Asian,Total,323,Firms with 16 or more years in business,26100,59372017,310119,13415709,,
231,Total for all sectors,Male,001,60,Asian,Total,311,Firms with less than 2 years in business,54869,43607835,261101,9345275,,
232,Total for all sectors,Male,001,60,Asian,Total,318,Firms with 2 to 3 years in business,53966,60302063,405492,11998096,,
