,Unnamed: 0,GEO_ID,NAME,NAICS2017,NAICS2017_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,YEAR,FIRMPDEMP,RCPPDEMP,EMP,PAYANN
49,49,0100000US,United States,0,Total for all sectors,2,Female,1,Total,50,American Indian and Alaska Native,1,Total,2019,8618,8758314,56452,2246276
50,50,0100000US,United States,0,Total for all sectors,3,Male,1,Total,50,American Indian and Alaska Native,1,Total,2019,16666,25902722,151474,6228154
51,51,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,50,American Indian and Alaska Native,1,Total,2019,780,1115562,7122,186268
52,52,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,50,American Indian and Alaska Native,1,Total,2019,5451,3979834,30987,994891
53,53,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,50,American Indian and Alaska Native,1,Total,2019,1710,946085,9362,277219
54,54,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,50,American Indian and Alaska Native,1,Total,2019,3591,2984261,21215,703461
55,55,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,50,American Indian and Alaska Native,1,Total,2019,S,S,250 to 499 employees,S
56,56,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,50,American Indian and Alaska Native,1,Total,2019,S,S,20 to 99 employees,S
57,57,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,50,American Indian and Alaska Native,1,Total,2019,S,S,20 to 99 employees,S
58,58,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,50,American Indian and Alaska Native,1,Total,2019,20567,31761562,183997,7663219
59,59,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,50,American Indian and Alaska Native,1,Total,2019,6907,7812229,47091,1969057
60,60,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,50,American Indian and Alaska Native,1,Total,2019,13074,22918460,130259,5524693
61,61,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,50,American Indian and Alaska Native,1,Total,2019,586,1030873,6647,169468
62,62,0100000US,United States,0,Total for all sectors,1,Total,1,Total,60,Asian,1,Total,2019,581200,874618317,4946547,185813228
63,63,0100000US,United States,0,Total for all sectors,2,Female,1,Total,60,Asian,1,Total,2019,167597,183205255,1228187,43524906
64,64,0100000US,United States,0,Total for all sectors,3,Male,1,Total,60,Asian,1,Total,2019,333643,596545589,3081354,123414253
65,65,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,60,Asian,1,Total,2019,79958,94867473,637006,18874069
66,66,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,60,Asian,1,Total,2019,3810,3270480,23144,781671
67,67,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,60,Asian,1,Total,2019,1384,1102670,7050,240769
68,68,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,60,Asian,1,Total,2019,2291,2079509,15520,524098
69,69,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,60,Asian,1,Total,2019,S,S,500 to 999 employees,S
70,70,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,60,Asian,1,Total,2019,S,S,"2,500 to 4,999 employees",S
71,71,0100000US,United States,0,Total for all sectors,3,Male,28,Equally Hispanic/non-Hispanic,60,Asian,1,Total,2019,S,S,"1,000 to 2,499 employees",S
72,72,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,60,Asian,1,Total,2019,S,S,"2,500 to 4,999 employees",S
73,73,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,60,Asian,1,Total,2019,577116,869885895,4919526,184837251
74,74,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,60,Asian,1,Total,2019,166212,182102585,1221137,43284137
75,75,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,60,Asian,1,Total,2019,331239,594307673,3064759,122806621
76,76,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,60,Asian,1,Total,2019,79664,93475637,633629,18746493
77,77,0100000US,United States,0,Total for all sectors,1,Total,1,Total,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,7331,8480444,51869,1925315
78,78,0100000US,United States,0,Total for all sectors,2,Female,1,Total,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,2193,1550939,13877,464393
79,79,0100000US,United States,0,Total for all sectors,3,Male,1,Total,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,4909,6755027,34355,1399251
80,80,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,S,S,"2,500 to 4,999 employees",S
81,81,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,S,S,"5,000 to 9,999 employees",S
82,82,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,173,94743,1767,29613
83,83,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,S,S,"2,500 to 4,999 employees",S
84,84,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,D,D,20 to 99 employees,D
85,85,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,6292,7643013,46141,1789013
86,86,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,2019,1456196,12110,434780
87,87,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,4046,6027931,30471,1295053
88,88,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,70,Native Hawaiian and Other Pacific Islander,1,Total,2019,S,S,"2,500 to 4,999 employees",S
89,89,0100000US,United States,0,Total for all sectors,1,Total,1,Total,90,Minority,1,Total,2019,1077319,1508782783,9348384,344460624
90,90,0100000US,United States,0,Total for all sectors,2,Female,1,Total,90,Minority,1,Total,2019,306642,323066272,2438663,81881988
91,91,0100000US,United States,0,Total for all sectors,3,Male,1,Total,90,Minority,1,Total,2019,635192,1032860429,5784021,229608416
92,92,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,90,Minority,1,Total,2019,135487,152856082,1125700,32970220
93,93,0100000US,United States,0,Total for all sectors,1,Total,1,Total,91,Equally minority/nonminority,1,Total,2019,91781,141961063,895308,36476859
94,94,0100000US,United States,0,Total for all sectors,2,Female,1,Total,91,Equally minority/nonminority,1,Total,2019,4407,3915168,32969,1243609
95,95,0100000US,United States,0,Total for all sectors,3,Male,1,Total,91,Equally minority/nonminority,1,Total,2019,21864,58242344,283351,14078265
96,96,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,91,Equally minority/nonminority,1,Total,2019,65510,79803551,578988,21154985
97,97,0100000US,United States,0,Total for all sectors,1,Total,1,Total,92,Nonminority,1,Total,2019,4394007,13396878643,53996318,2579703521
98,98,0100000US,United States,0,Total for all sectors,2,Female,1,Total,92,Nonminority,1,Total,2019,897360,1481273352,8320317,335426535
99,99,0100000US,United States,0,Total for all sectors,3,Male,1,Total,92,Nonminority,1,Total,2019,2851209,10738789110,39498539,2005091016
100,100,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,92,Nonminority,1,Total,2019,645436,1176816181,6177462,239185971
101,101,0100000US,United States,0,Total for all sectors,1,Total,1,Total,0,Total,2,Veteran,2019,331151,963424534,3966417,191603469
102,102,0100000US,United States,0,Total for all sectors,2,Female,1,Total,0,Total,2,Veteran,2019,14553,17322440,134688,5152818
103,103,0100000US,United States,0,Total for all sectors,3,Male,1,Total,0,Total,2,Veteran,2019,313855,943467966,3812897,185722677
104,104,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,0,Total,2,Veteran,2019,2741,2634128,18832,727974
105,105,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,0,Total,2,Veteran,2019,11883,22068965,154046,7935447
106,106,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,0,Total,2,Veteran,2019,S,S,"10,000 to 24,999 employees",S
107,107,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,0,Total,2,Veteran,2019,11122,20496431,136997,7362786
108,108,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,0,Total,2,Veteran,2019,S,S,"2,500 to 4,999 employees",S
109,109,0100000US,United States,0,Total for all sectors,3,Male,28,Equally Hispanic/non-Hispanic,0,Total,2,Veteran,2019,S,S,"1,000 to 2,499 employees",S
110,110,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,0,Total,2,Veteran,2019,S,S,"1,000 to 2,499 employees",S
111,111,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,0,Total,2,Veteran,2019,318725,940878325,3808424,183549061
112,112,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,0,Total,2,Veteran,2019,13792,15749906,117639,4580156
113,113,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,0,Total,2,Veteran,2019,302490,922631396,3673875,178283790
114,114,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,0,Total,2,Veteran,2019,2442,2497022,16911,685114
115,115,0100000US,United States,0,Total for all sectors,1,Total,1,Total,30,White,2,Veteran,2019,311771,940134416,3786189,184510295
116,116,0100000US,United States,0,Total for all sectors,2,Female,1,Total,30,White,2,Veteran,2019,12181,15527121,116432,4514973
117,117,0100000US,United States,0,Total for all sectors,3,Male,1,Total,30,White,2,Veteran,2019,297131,922295574,3652238,179309937
118,118,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,30,White,2,Veteran,2019,2457,2311721,17519,685385
119,119,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,30,White,2,Veteran,2019,11224,21589432,151094,7795642
120,120,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,30,White,2,Veteran,2019,S,S,"2,500 to 4,999 employees",S
121,121,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,30,White,2,Veteran,2019,300107,918128201,3632073,176621885
122,122,0100000US,United States,0,Total for all sectors,1,Total,1,Total,40,Black or African American,2,Veteran,2019,12695,14402570,109642,4190369
123,123,0100000US,United States,0,Total for all sectors,2,Female,1,Total,40,Black or African American,2,Veteran,2019,2031,1454359,12349,491421
124,124,0100000US,United States,0,Total for all sectors,3,Male,1,Total,40,Black or African American,2,Veteran,2019,10490,12921436,96951,3693149
125,125,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,40,Black or African American,2,Veteran,2019,S,S,250 to 499 employees,S
126,126,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,40,Black or African American,2,Veteran,2019,S,S,"1,000 to 2,499 employees",S
127,127,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,40,Black or African American,2,Veteran,2019,12231,14000583,107949,4086110
128,128,0100000US,United States,0,Total for all sectors,1,Total,1,Total,50,American Indian and Alaska Native,2,Veteran,2019,2475,3126400,27946,981309
129,129,0100000US,United States,0,Total for all sectors,2,Female,1,Total,50,American Indian and Alaska Native,2,Veteran,2019,S,S,"1,000 to 2,499 employees",S
130,130,0100000US,United States,0,Total for all sectors,3,Male,1,Total,50,American Indian and Alaska Native,2,Veteran,2019,2187,2930486,26194,945952
131,131,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,50,American Indian and Alaska Native,2,Veteran,2019,S,S,500 to 999 employees,S
132,132,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,50,American Indian and Alaska Native,2,Veteran,2019,2302,3070449,27212,970219
133,133,0100000US,United States,0,Total for all sectors,1,Total,1,Total,60,Asian,2,Veteran,2019,6710,9091328,63759,3113356
134,134,0100000US,United States,0,Total for all sectors,2,Female,1,Total,60,Asian,2,Veteran,2019,S,S,"5,000 to 9,999 employees",S
135,135,0100000US,United States,0,Total for all sectors,3,Male,1,Total,60,Asian,2,Veteran,2019,5849,8409540,55931,2881114
136,136,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,60,Asian,2,Veteran,2019,D,D,100 to 249 employees,D
137,137,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,60,Asian,2,Veteran,2019,S,S,"1,000 to 2,499 employees",S
138,138,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,60,Asian,2,Veteran,2019,6523,8945853,62661,3072466
139,139,0100000US,United States,0,Total for all sectors,1,Total,1,Total,70,Native Hawaiian and Other Pacific Islander,2,Veteran,2019,697,788618,6201,303560
140,140,0100000US,United States,0,Total for all sectors,2,Female,1,Total,70,Native Hawaiian and Other Pacific Islander,2,Veteran,2019,S,S,250 to 499 employees,S
141,141,0100000US,United States,0,Total for all sectors,3,Male,1,Total,70,Native Hawaiian and Other Pacific Islander,2,Veteran,2019,687,752380,5939,288027
142,142,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,70,Native Hawaiian and Other Pacific Islander,2,Veteran,2019,S,S,250 to 499 employees,S
143,143,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,70,Native Hawaiian and Other Pacific Islander,2,Veteran,2019,642,733822,5717,292385
144,144,0100000US,United States,0,Total for all sectors,1,Total,1,Total,90,Minority,2,Veteran,2019,33246,48530650,354329,16187109
145,145,0100000US,United States,0,Total for all sectors,1,Total,1,Total,91,Equally minority/nonminority,2,Veteran,2019,603,629226,3882,147830
146,146,0100000US,United States,0,Total for all sectors,1,Total,1,Total,92,Nonminority,2,Veteran,2019,297302,914264657,3608206,175268531
147,147,0100000US,United States,0,Total for all sectors,1,Total,1,Total,0,Total,3,Equally veteran/nonveteran,2019,141040,289877976,1484443,64419414
148,148,0100000US,United States,0,Total for all sectors,2,Female,1,Total,0,Total,3,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S
149,149,0100000US,United States,0,Total for all sectors,3,Male,1,Total,0,Total,3,Equally veteran/nonveteran,2019,40707,120892448,576460,28043208
150,150,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,0,Total,3,Equally veteran/nonveteran,2019,99066,167287019,887590,35805945
151,151,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,0,Total,3,Equally veteran/nonveteran,2019,3365,3164291,27731,741496
152,152,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,0,Total,3,Equally veteran/nonveteran,2019,S,S,"2,500 to 4,999 employees",S
153,153,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,0,Total,3,Equally veteran/nonveteran,2019,S,S,"2,500 to 4,999 employees",S
154,154,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,0,Total,3,Equally veteran/nonveteran,2019,2256,2009346,19167,453948
155,155,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,5781,9724714,63672,3688818
156,156,0100000US,United States,0,Total for all sectors,2,Female,28,Equally Hispanic/non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,D,D,20 to 99 employees,D
157,157,0100000US,United States,0,Total for all sectors,3,Male,28,Equally Hispanic/non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S
158,158,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,S,S,"25,000 to 49,999 employees",S
159,159,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,131892,276988971,1393040,59989100
160,160,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S
161,161,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,38661,116650244,552816,27115976
162,162,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,0,Total,3,Equally veteran/nonveteran,2019,92157,158843716,823430,32389296
163,163,0100000US,United States,0,Total for all sectors,1,Total,1,Total,30,White,3,Equally veteran/nonveteran,2019,131400,278614447,1397640,61629112
164,164,0100000US,United States,0,Total for all sectors,2,Female,1,Total,30,White,3,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S
165,165,0100000US,United States,0,Total for all sectors,3,Male,1,Total,30,White,3,Equally veteran/nonveteran,2019,38797,116806836,558715,27107626
166,166,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,30,White,3,Equally veteran/nonveteran,2019,91451,160232191,821097,34019100
167,167,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,30,White,3,Equally veteran/nonveteran,2019,3097,3074976,26856,716200
168,168,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,30,White,3,Equally veteran/nonveteran,2019,5144,9306828,58795,3590554
169,169,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,30,White,3,Equally veteran/nonveteran,2019,123157,266232643,1311990,57322358
170,170,0100000US,United States,0,Total for all sectors,1,Total,1,Total,40,Black or African American,3,Equally veteran/nonveteran,2019,1939,1246788,21007,433153
171,171,0100000US,United States,0,Total for all sectors,3,Male,1,Total,40,Black or African American,3,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S
172,172,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,40,Black or African American,3,Equally veteran/nonveteran,2019,1819,1133871,19914,400976
173,173,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,40,Black or African American,3,Equally veteran/nonveteran,2019,S,S,100 to 249 employees,S
174,174,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,40,Black or African American,3,Equally veteran/nonveteran,2019,1899,1240704,20871,431158
175,175,0100000US,United States,0,Total for all sectors,1,Total,1,Total,50,American Indian and Alaska Native,3,Equally veteran/nonveteran,2019,156,157881,2400,68678
176,176,0100000US,United States,0,Total for all sectors,3,Male,1,Total,50,American Indian and Alaska Native,3,Equally veteran/nonveteran,2019,68,33805,316,9967
177,177,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,50,American Indian and Alaska Native,3,Equally veteran/nonveteran,2019,89,124076,2084,58711
178,178,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,50,American Indian and Alaska Native,3,Equally veteran/nonveteran,2019,156,157881,2400,68678
179,179,0100000US,United States,0,Total for all sectors,1,Total,1,Total,60,Asian,3,Equally veteran/nonveteran,2019,1722,1360350,9319,326413
180,180,0100000US,United States,0,Total for all sectors,3,Male,1,Total,60,Asian,3,Equally veteran/nonveteran,2019,407,504189,2391,133849
181,181,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,60,Asian,3,Equally veteran/nonveteran,2019,1316,856161,6928,192564
182,182,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,60,Asian,3,Equally veteran/nonveteran,2019,D,D,0 to 19 employees,D
183,183,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,60,Asian,3,Equally veteran/nonveteran,2019,1715,1357683,9319,326399
184,184,0100000US,United States,0,Total for all sectors,1,Total,1,Total,70,Native Hawaiian and Other Pacific Islander,3,Equally veteran/nonveteran,2019,25,58157,742,23276
185,185,0100000US,United States,0,Total for all sectors,3,Male,1,Total,70,Native Hawaiian and Other Pacific Islander,3,Equally veteran/nonveteran,2019,5,48312,506,18528
186,186,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,70,Native Hawaiian and Other Pacific Islander,3,Equally veteran/nonveteran,2019,S,S,100 to 249 employees,S
187,187,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,70,Native Hawaiian and Other Pacific Islander,3,Equally veteran/nonveteran,2019,25,58157,742,23276
188,188,0100000US,United States,0,Total for all sectors,1,Total,1,Total,90,Minority,3,Equally veteran/nonveteran,2019,8104,6576863,67274,1740043
189,189,0100000US,United States,0,Total for all sectors,1,Total,1,Total,91,Equally minority/nonminority,3,Equally veteran/nonveteran,2019,11668,18426322,115736,5673555
190,190,0100000US,United States,0,Total for all sectors,1,Total,1,Total,92,Nonminority,3,Equally veteran/nonveteran,2019,121266,264874790,1301433,57005816
