,Unnamed: 0,GEO_ID,NAME,NAICS2017,NAICS2017_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,EMPSZFI,EMPSZFI_LABEL,YEAR,FIRMPDEMP,RCPPDEMP,EMP,PAYANN,Unnamed: 33
97,97,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,13,1990691,17388,526639,
98,98,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,5461,2776318,0,1564141,
99,99,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,19372,8811511,39564,1421176,
100,100,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,6172,5084090,40367,1427821,
101,101,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,4100,6457546,56270,1930583,
102,102,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,2610,9500035,76721,2376606,
103,103,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,S,S,"25,000 to 49,999 employees",S,
104,104,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,237,5765316,38511,1552893,
105,105,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,S,S,"5,000 to 9,999 employees",S,
106,106,0100000US,United States,00,Total for all sectors,004,Equally male/female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,58,4864809,50892,1252132,
107,107,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,670596,271659732,0,44985469,
108,108,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,2557088,1153276562,5086490,213585019,
109,109,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,865944,1046045558,5709194,234237178,
110,110,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,543017,1300769385,7306929,311167482,
111,111,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,352900,2116222640,10571847,466498498,
112,112,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,103189,1812158932,7031220,337900188,
113,113,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,50819,2260955696,7593119,401730886,
114,114,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,13375,1444737746,4564732,238853202,
115,115,0100000US,United States,00,Total for all sectors,001,Total,029,Non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,8422,3100271656,12962414,583848348,
116,116,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,147800,44028009,0,8202917,
117,117,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,578425,205556841,1124410,41728293,
118,118,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,184774,165646180,1215828,41670317,
119,119,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,112061,207182703,1502936,53765012,
120,120,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,66710,284889870,1977847,72723419,
121,121,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,16790,221986148,1132079,46337069,
122,122,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,7286,181426072,1078328,46491358,
123,123,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,1608,106459468,549835,23028253,
124,124,0100000US,United States,00,Total for all sectors,002,Female,029,Non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,1086,292065026,1464417,60345426,
125,125,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,419862,188490388,0,30442801,
126,126,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,1604389,785523682,3191306,144029453,
127,127,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,545929,732614596,3598574,161320724,
128,128,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,347374,932151481,4682097,219206357,
129,129,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,234095,1580307707,7050364,340113804,
130,130,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,73650,1436340682,5026299,257862715,
131,131,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,38751,1937558080,5821653,327223544,
132,132,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,10276,1218473328,3504166,194106765,
133,133,0100000US,United States,00,Total for all sectors,003,Male,029,Non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,6783,2669942809,10691203,494122242,
134,134,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,102934,39141335,0,6339751,
135,135,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,374273,162196039,770774,27827273,
136,136,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,135241,147784782,894793,31246137,
137,137,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,83585,161435201,1121895,38196113,
138,138,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,52094,251025063,1543637,53661274,
139,139,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,12752,153832101,872841,33700403,
140,140,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,4782,141971544,693139,28015984,
141,141,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,1489,119804949,510731,21718184,
142,142,0100000US,United States,00,Total for all sectors,004,Equally male/female,029,Non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,555,138263820,806794,29380679,
143,143,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,611,Firms with no employees,2019,638239,257969522,0,43822706,
144,144,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,612,Firms with 1 to 4 employees,2019,2391453,1057405401,4726044,200393930,
145,145,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,620,Firms with 5 to 9 employees,2019,790708,961167643,5215098,218797722,
146,146,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,630,Firms with 10 to 19 employees,2019,501554,1220440116,6751771,294659080,
147,147,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,641,Firms with 20 to 49 employees,2019,328758,2035343630,9872423,443834037,
148,148,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,642,Firms with 50 to 99 employees,2019,98111,1768106652,6699901,324503263,
149,149,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,651,Firms with 100 to 249 employees,2019,49067,2225128834,7332271,390863524,
150,150,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,652,Firms with 250 to 499 employees,2019,12955,1405757463,4419645,231741923,
151,151,0100000US,United States,00,Total for all sectors,001,Total,001,Total,30,White,001,Total,657,Firms with 500 employees or more,2019,8251,3045592136,12645646,569872183,
152,152,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,611,Firms with no employees,2019,134618,39753534,0,7506240,
153,153,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,612,Firms with 1 to 4 employees,2019,519930,181299925,997808,37552284,
154,154,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,620,Firms with 5 to 9 employees,2019,161649,147427869,1064791,37432383,
155,155,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,630,Firms with 10 to 19 employees,2019,97761,184806540,1307513,48141026,
156,156,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,641,Firms with 20 to 49 employees,2019,59566,263657171,1767631,65562060,
157,157,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,642,Firms with 50 to 99 employees,2019,15119,205490925,1022692,41956287,
158,158,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,651,Firms with 100 to 249 employees,2019,6715,176365469,989995,43558478,
159,159,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,652,Firms with 250 to 499 employees,2019,1590,104034237,543395,22558939,
160,160,0100000US,United States,00,Total for all sectors,002,Female,001,Total,30,White,001,Total,657,Firms with 500 employees or more,2019,1069,287729489,1438851,58509028,
161,161,0100000US,United States,00,Total for all sectors,003,Male,001,Total,30,White,001,Total,611,Firms with no employees,2019,403297,179487775,0,28991428,
162,162,0100000US,United States,00,Total for all sectors,003,Male,001,Total,30,White,001,Total,612,Firms with 1 to 4 employees,2019,1515237,724507176,2998925,136110428,
163,163,0100000US,United States,00,Total for all sectors,003,Male,001,Total,30,White,001,Total,620,Firms with 5 to 9 employees,2019,504017,677407197,3322964,151750881,
164,164,0100000US,United States,00,Total for all sectors,003,Male,001,Total,30,White,001,Total,630,Firms with 10 to 19 employees,2019,325269,881593096,4389582,209711701,
